carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Very Good,F,SI1,61.7,59.0,2313,5.64,5.68,3.49
1.15,Very Good,H,SI2,62.0,58.0,4743,6.66,6.7,4.14
0.51,Premium,F,SI1,59.4,60.0,1308,5.19,5.21,3.09
1.1,Very Good,D,SI2,61.6,57.0,5226,6.61,6.67,4.09
0.45,Fair,F,SI1,66.8,59.0,794,4.79,4.63,3.16
0.43,Premium,E,SI2,60.8,58.0,716,4.86,4.88,2.96
0.31,Good,J,VS1,61.9,61.0,412,4.29,4.34,2.67
1.06,Good,I,SI2,58.7,60.0,3842,6.65,6.71,3.92
0.3,Ideal,E,VVS2,61.3,57.0,949,4.3,4.32,2.64
0.24,Ideal,F,VVS2,62.0,57.0,678,3.99,4.02,2.48
0.5,Good,D,SI1,60.5,57.0,1447,5.1,5.14,3.1
0.55,Very Good,F,SI1,63.1,56.0,1368,5.22,5.24,3.3
1.09,Ideal,H,SI2,62.0,57.0,4264,6.61,6.55,4.08
0.31,Premium,I,VVS1,61.0,58.0,732,4.39,4.33,2.66
0.31,Premium,F,VVS1,61.8,59.0,959,4.35,4.33,2.68
0.91,Premium,G,VS2,60.8,56.0,4357,6.28,6.21,3.8
0.73,Premium,F,VS2,60.3,59.0,2841,5.9,5.87,3.55
1.51,Very Good,E,SI2,61.8,57.0,9731,7.34,7.32,4.53
0.3,Ideal,G,VS1,62.9,57.0,776,4.31,4.28,2.7
1.2,Premium,G,SI2,60.2,60.0,5689,6.9,6.83,4.13
1.01,Very Good,H,SI1,62.1,60.0,4432,6.4,6.44,3.99
1.7,Ideal,H,SI2,62.9,57.0,7664,7.59,7.55,4.76
1.58,Ideal,F,SI1,61.9,55.0,14495,7.52,7.47,4.64
1.06,Premium,F,SI2,62.0,59.0,4656,6.57,6.52,4.06
0.23,Good,E,VVS1,59.9,65.0,439,3.93,3.95,2.36
1.0,Very Good,D,IF,63.3,59.0,16073,6.37,6.33,4.02
2.28,Ideal,I,SI2,62.9,57.0,16187,8.41,8.34,5.27
0.51,Very Good,D,VS2,63.1,56.0,1658,5.06,5.12,3.21
0.4,Ideal,G,IF,62.0,56.0,1229,4.73,4.76,2.94
1.01,Premium,F,SI1,61.9,58.0,4412,6.38,6.34,3.94
1.51,Ideal,G,SI1,62.3,54.0,10993,7.38,7.32,4.58
2.4,Very Good,I,SI2,60.6,58.5,17955,8.59,8.67,5.24
0.9,Premium,G,SI1,61.0,59.0,3931,6.29,6.17,3.8
0.7,Very Good,F,VS1,62.4,56.0,2604,5.62,5.7,3.53
1.01,Very Good,D,SI1,62.9,59.0,5443,6.39,6.43,4.03
0.88,Fair,F,SI1,56.6,65.0,2882,6.39,6.32,3.6
0.25,Good,E,VS1,63.3,60.0,361,3.99,4.04,2.54
0.34,Ideal,D,IF,59.8,57.0,2346,4.59,4.57,2.74
0.51,Good,G,SI2,63.6,54.0,1129,5.08,5.05,3.22
1.51,Ideal,J,VS2,61.5,56.0,8203,7.37,7.4,4.54
0.52,Ideal,E,VS1,61.3,56.0,1726,5.18,5.22,3.19
0.31,Premium,G,SI1,62.1,58.0,593,4.36,4.33,2.7
1.25,Ideal,G,VVS2,61.5,55.0,10636,6.92,6.94,4.26
0.36,Ideal,F,VS1,62.5,57.0,789,4.53,4.56,2.84
0.32,Very Good,G,VS1,62.5,60.0,645,4.29,4.35,2.7
1.2,Ideal,J,SI2,62.5,57.0,4516,6.8,6.74,4.23
0.62,Very Good,H,VS2,61.8,57.0,1734,5.47,5.5,3.39
2.01,Ideal,G,SI2,61.9,57.0,17555,8.0,8.08,4.98
1.01,Ideal,E,SI1,61.8,57.0,5262,6.39,6.49,3.98
0.57,Good,G,VS2,58.2,66.0,1816,5.34,5.45,3.14
0.28,Good,F,VVS2,61.2,62.0,596,4.16,4.21,2.56
0.74,Ideal,E,SI1,61.6,54.0,2699,5.82,5.9,3.61
1.52,Premium,F,VS2,62.3,56.0,14544,7.34,7.29,4.56
0.32,Ideal,E,VS1,59.9,55.0,758,4.46,4.49,2.68
0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35
1.06,Very Good,G,VS1,63.0,56.0,6863,6.47,6.51,4.09
0.92,Premium,H,VS1,61.0,62.0,4155,6.32,6.26,3.84
1.36,Ideal,I,SI1,62.0,56.0,7218,7.08,7.11,4.4
0.41,Premium,G,SI2,61.4,58.0,784,4.8,4.75,2.93
0.54,Ideal,H,SI1,62.2,56.0,1154,5.19,5.26,3.25
0.3,Premium,E,SI2,61.9,58.0,540,4.31,4.28,2.66
1.05,Ideal,G,VS1,62.2,57.0,7357,6.49,6.51,4.04
0.56,Premium,G,VVS1,59.7,59.0,2167,5.41,5.35,3.21
1.21,Premium,H,SI1,60.5,59.0,6566,6.96,6.89,4.19
0.4,Premium,G,VS2,61.9,58.0,753,4.74,4.76,2.94
2.02,Premium,E,SI2,58.2,60.0,17938,8.32,8.25,4.82
2.16,Ideal,J,SI1,63.0,55.0,14691,8.2,8.24,5.18
1.01,Ideal,G,VS2,62.1,57.0,6734,6.4,6.45,3.99
0.41,Good,D,SI1,56.5,63.0,758,4.98,4.94,2.8
1.14,Ideal,G,VVS1,61.1,58.0,10933,6.74,6.77,4.13
1.05,Premium,F,SI1,62.8,59.0,4879,6.43,6.4,4.03
2.11,Premium,J,VS2,59.9,60.0,13046,8.36,8.41,5.02
1.11,Very Good,G,VS2,62.2,55.0,6593,6.61,6.67,4.13
0.35,Ideal,F,VS1,62.4,55.0,665,4.49,4.52,2.81
0.54,Premium,G,VS1,61.1,59.0,1684,5.2,5.24,3.19
2.04,Very Good,I,VS2,60.3,59.0,17315,8.18,8.2,4.94
0.41,Very Good,E,SI1,59.3,61.0,705,4.8,4.84,2.86
0.34,Ideal,E,VVS1,61.6,55.0,1030,4.5,4.52,2.78
1.0,Premium,H,SI1,59.4,58.0,4788,6.51,6.46,3.85
1.0,Premium,D,SI2,62.4,58.0,4730,6.33,6.36,3.96
0.37,Ideal,F,SI1,61.3,55.0,583,4.61,4.65,2.84
1.51,Ideal,G,SI1,62.4,56.0,11917,7.36,7.33,4.59
1.5,Premium,F,VS1,59.6,60.0,15478,7.49,7.41,4.44
1.24,Ideal,G,SI2,61.4,56.0,5520,6.98,6.92,4.27
1.16,Very Good,H,SI2,59.6,59.0,4455,6.85,6.87,4.09
1.1,Ideal,F,VS2,61.4,56.0,7453,6.64,6.68,4.09
1.28,Ideal,F,SI2,59.7,57.0,4179,7.12,7.06,4.23
0.64,Very Good,G,VS2,62.7,59.0,1873,5.44,5.5,3.43
1.11,Premium,G,SI2,62.3,58.0,4755,6.65,6.61,4.13
0.7,Good,E,SI2,63.7,55.0,2435,5.63,5.58,3.57
1.22,Ideal,F,VS2,62.6,56.0,8733,6.8,6.78,4.25
0.24,Very Good,F,VVS1,59.0,59.0,552,4.05,4.08,2.4
0.74,Premium,D,SI1,60.6,60.0,2655,5.88,5.84,3.55
0.88,Very Good,I,VS1,63.3,55.0,2996,6.11,6.06,3.85
1.12,Ideal,H,SI1,61.9,57.0,5521,6.64,6.68,4.12
0.32,Ideal,F,VS1,61.1,57.0,652,4.42,4.45,2.71
1.06,Premium,G,SI1,61.5,59.0,5113,6.57,6.53,4.03
0.41,Very Good,H,VVS1,62.0,56.0,1166,4.77,4.81,2.97
0.51,Good,F,SI1,63.6,58.0,1406,5.08,5.05,3.22
0.3,Very Good,G,VS2,63.5,59.0,644,4.22,4.17,2.66
0.31,Ideal,I,VS2,62.3,53.8,447,4.32,4.36,2.7
1.01,Very Good,H,SI2,58.9,60.0,4185,6.62,6.58,3.89
1.01,Premium,G,VVS2,60.7,58.0,7862,6.52,6.49,3.95
2.05,Very Good,H,VS2,61.8,60.0,18152,8.14,8.19,5.05
0.32,Premium,E,VS2,60.5,59.0,702,4.39,4.43,2.67
1.23,Premium,J,VS1,60.1,60.0,5304,6.95,6.9,4.16
0.23,Very Good,G,VS2,62.8,53.0,369,3.91,3.93,2.46
0.27,Very Good,F,IF,59.4,61.0,567,4.23,4.26,2.52
0.34,Ideal,F,VS2,62.5,55.0,686,4.48,4.51,2.81
0.55,Premium,H,VS2,60.2,59.0,1387,5.36,5.24,3.19
0.58,Premium,E,SI1,60.6,56.0,1949,5.42,5.38,3.27
0.33,Ideal,E,VVS1,61.9,57.0,1374,4.46,4.43,2.75
1.0,Good,F,SI2,63.6,62.0,3265,6.25,6.2,3.96
0.27,Ideal,E,VS1,61.6,56.0,470,4.14,4.17,2.56
0.91,Fair,D,SI1,65.2,57.0,3730,6.08,6.04,3.95
0.73,Good,F,SI2,58.1,62.0,2191,5.92,5.93,3.44
0.3,Very Good,H,VVS1,62.5,59.0,684,4.26,4.29,2.67
0.55,Ideal,F,SI1,61.7,56.0,1718,5.3,5.26,3.25
1.27,Premium,J,VS2,62.8,58.0,4011,6.96,6.92,4.36
0.44,Ideal,I,VVS1,61.2,55.0,1107,4.92,4.95,3.02
1.01,Very Good,F,SI2,63.2,59.0,4497,6.38,6.35,4.02
1.31,Very Good,I,VS1,62.3,58.0,6885,6.99,7.03,4.37
0.51,Premium,G,VVS2,61.7,58.0,1974,5.14,5.11,3.16
1.06,Premium,D,SI2,62.5,56.0,5393,6.61,6.47,4.09
1.08,Very Good,G,VVS2,63.1,56.0,7862,6.58,6.51,4.13
0.72,Ideal,H,SI1,61.7,54.0,2359,5.77,5.81,3.57
0.33,Ideal,G,IF,61.6,55.0,1052,4.51,4.48,2.77
